,name,address,budget,genre
172,赤から 八王子東中野店,東京都八王子市東中野２４－６,B002,G001
173,赤から 羽村店,東京都羽村市栄町１-2-38,B002,G001
174,赤から 町田南口店,東京都町田市原町田６-11-7  風月堂ビルB1F,B002,G001
175,赤から 赤坂TBS通り店,東京都港区赤坂３-１２-１０　赤坂サンビル2階,B002,G001
176,赤から 池袋西口公園前店,東京都豊島区西池袋１-13-5　シーガルハウス５F,B002,G001
177,赤から 秋葉原昭和通店,東京都千代田区神田佐久間町１－１５　川初ビル７階,B003,G004
178,赤から 高田馬場店,東京都新宿区高田馬場３-5-3　第90東京ビル3F,B003,G001
179,赤から 秋葉原中央通り店,東京都千代田区外神田１-13-1　Akiba1131.bldg　5F,B002,G001
180,赤から 池袋東口店,東京都豊島区南池袋１-20-11 池袋第5ビル 2F,B002,G001
181,赤から 恵比寿西口店,東京都渋谷区恵比寿西１-９-３　恵比寿西入船ビル３Ｆ,B002,G001
182,赤から 吉祥寺店,東京都武蔵野市吉祥寺本町１-2-7　アルファビル５F,B002,G001
183,赤から 銀座店,東京都中央区銀座３－2－15　ギンザ・グラッセ7F,B002,G001
184,赤から 渋谷宮益坂店,東京都渋谷区渋谷１－１４－８　宮益ＳＫビルＢ１Ｆ,B002,G001
185,赤から 新宿西口店,東京都新宿区西新宿１-3-1新宿サンフラワービル4F,B003,G001
186,赤から 立川北口店,東京都立川市曙町２-6-10 ナカムラビル B1,B002,G001
187,赤から 渋谷宇田川町店,東京都渋谷区宇田川町31-9ハナテイビル3F,B002,G003
188,赤から 銀座5丁目店,東京都中央区銀座５-9-11 銀座ファゼンダビルＢ1Ｆ,B002,G001
189,赤から 渋谷本店,東京都渋谷区神南１-20-16　高山ランドビルＢ1,B002,G001
190,赤から 西葛西北口店,東京都江戸川区西葛西５丁目1-14第一保志ビル3F,B003,G001
191,AGATHA アガサ,東京都港区六本木４-12-7 ＲＢビル　６Ｆ,B008,G001
192,あん庵 赤坂,東京都港区赤坂３－１０－１４　AKASAKA FOUR DEER ビル 1F,B008,G001
193,赤坂 維新號 銀座新館,東京都中央区銀座８－２－１２　東京華僑会館ビル,B005,G007
194,赤坂 維新號 本店,東京都千代田区紀尾井町１－１１,B006,G007
195,オールドタイム 赤坂,東京都港区赤坂５‐１‐３７　赤坂ＳＤビル１Ｆ,B008,G012
196,赤坂 おんがね,東京都港区赤坂３‐6‐13　アニマート赤坂1F,B004,G017
197,赤坂かこい 本館,東京都港区赤坂３-12-10 赤坂サンビルB1F,B008,G001
198,風花 赤坂,東京都港区赤坂７-11-8 パームヒル赤坂1F,B003,G002
